Place,passenger side,driver side,back
Front bumper,"(266,168)"
Rear bumper,"(45,158)","(305,70)"
Front fender,"(233,145)"
Rear fender,"(80,140)"
Hood,"(168,162)"
Trunk,"(37,118)"
Roof,"(133,82)"
door,"(198,217)"
Side window
lapm,"(210,101)"
Rear window
mirror
Wheels
Headlights
Taillights
Grill
Exhaust pipe
Undercarriage
Interior
Steering wheel
Gear shift
Radio/entertainment system
